Rank,ed1,ed2,ed3,intake1,intake2,intake3,intake4,pharm1,pharm2,pharm3,psych1,psych2,psych3,refer1,refer2,refer3,peer1,peer2,policy1,policy2,policy3,policy4,policy5,eval1,eval2,sustain1,sustain2,sustain3,sustain4,avgScores
1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,2.0
2,5,5,2,5,2,2,2,1,1,1,5,5,1,5,5,1,1,1,5,3,3,3,3,1,1,5,1,1,1,2.7
3,2,2,2,5,2,2,2,5,5,5,2,2,2,5,5,1,1,1,5,5,5,5,1,1,1,5,2,2,2,2.9
4,5,5,5,5,2,3,3,1,1,1,2,5,3,5,5,5,1,1,5,3,3,3,5,2,2,1,5,2,1,3.1
5,5,5,5,5,5,5,5,2,2,2,5,5,3,5,5,2,1,1,5,5,5,1,1,2,2,1,1,1,1,3.2
6,2,2,2,5,5,5,2,5,5,5,2,2,5,2,5,1,1,1,5,5,5,1,2,2,2,5,5,2,2,3.2
7,2,2,2,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,2,2,2,3,3,5,2,2,2,3.3
8,5,2,2,5,5,2,2,5,5,5,2,2,2,5,5,5,2,2,5,5,2,5,5,2,2,2,2,2,2,3.3
9,5,2,2,5,1,2,5,5,5,5,2,2,1,5,5,5,1,1,5,5,5,1,5,5,5,5,1,1,1,3.4
10,5,2,5,5,2,2,5,5,2,5,5,5,5,2,5,2,2,2,5,5,5,2,2,2,2,5,5,2,2,3.6
11,5,5,5,5,1,1,3,5,5,5,5,5,2,5,5,5,1,1,5,5,5,5,5,2,2,3,1,1,1,3.6
12,3,2,5,5,5,5,5,3,3,2,2,2,2,5,5,5,2,2,5,5,5,2,2,2,5,5,2,5,5,3.7
13,4,3,5,4,4,3,3,5,5,5,3,5,1,5,5,1,1,1,5,5,5,5,5,5,5,4,3,1,3,3.8
14,5,3,2,5,2,2,4,5,5,5,3,5,2,5,5,5,2,3,5,5,5,2,2,4,4,5,5,4,5,3.9
15,4,5,5,5,5,5,4,5,5,5,4,4,2,5,5,1,1,1,5,5,5,5,5,5,5,5,2,1,2,4.0
16,5,2,5,5,1,5,2,5,5,5,5,2,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,1,4.2
17,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,2,5,5,5,5,5,5,5,5,5,2,5,4.6
18,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4.6
19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
